ID,Resource,FLEX,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,1,2653.8,2653.8,0,3.675725089,3962.951515,1.223390896,,2653.8,2653.8,0,3.675725089,13624.9575,4.206119835
2,CA_N_biomass_1,0,1,0,236.2,-236.2,0,0,0,,0,236.2,-236.2,0,0,0
3,CA_N_conventional_hydroelectric_1,0,1,0,7519.1,-7519.1,0,0,0,,0,7519.1,-7519.1,0,0,0
4,CA_N_geothermal_1,0,1,0,987.4,-987.4,0,0,0,,0,987.4,-987.4,0,0,0
5,CA_N_hydroelectric_pumped_storage_1,1,1,373.4561972,2276.9,-1903.443803,0.517266679,834.452665,0.257601384,,1543.914555,2276.9,-732.9854455,2.138445046,6878.433589,2.123420638
6,CA_N_natural_gas_fired_combined_cycle_1,0,1,7928.795273,11409.7,-3480.904727,10.98201512,5348.340568,1.651070203,,1795.018611,11409.7,-9614.681389,2.486244233,647.2769877,0.199818941
7,CA_N_natural_gas_fired_combustion_turbine_1,1,1,0,4732.2,-4732.2,0,0,0,,285.23,4732.2,-4446.97,0.395066345,316.9117915,0.09783289
8,CA_N_natural_gas_steam_turbine_1,0,1,0,2.9,-2.9,0,0,0,,0,2.9,-2.9,0,0,0
9,CA_N_onshore_wind_turbine_1,0,1,0,1473.5,-1473.5,0,0,0,,0,1473.5,-1473.5,0,0,0
10,CA_N_other_peaker_1,1,1,0,786,-786,0,0,0,,28.22842172,786,-757.7715783,0.03909862,78.67417173,0.024287268
11,CA_N_small_hydroelectric_1,0,1,227.3,227.3,0,0.314828666,754.4087,0.232891251,,227.3,227.3,0,0.314828666,1203.3262,0.371475228
12,CA_N_solar_photovoltaic_1,0,1,6333.4,6333.4,0,8.77226516,9297.982856,2.870352447,,0,6333.4,-6333.4,0,0,0
13,CA_S_batteries_1,1,2,7147.723936,9806.2,-2658.476064,9.900168891,14123.81202,4.360119717,,9806.2,9806.2,0,13.5823707,36886.58562,11.3871474
14,CA_S_biomass_1,0,2,0,181.4,-181.4,0,0,0,,0,181.4,-181.4,0,0,0
15,CA_S_conventional_hydroelectric_1,0,2,0,1346.4,-1346.4,0,0,0,,0,1346.4,-1346.4,0,0,0
16,CA_S_conventional_steam_coal_1,0,2,0,57,-57,0,0,0,,0,57,-57,0,0,0
17,CA_S_geothermal_1,0,2,0,1093,-1093,0,0,0,,0,1093,-1093,0,0,0
18,CA_S_hydroelectric_pumped_storage_1,1,2,0,1665,-1665,0,0,0,,1665,1665,0,2.306158065,6061.00618,1.87107507
19,CA_S_natural_gas_fired_combined_cycle_1,0,2,6572.42046,10043,-3470.57954,9.1033276,1048.623531,0.323717431,,2122.488516,10043,-7920.511484,2.939816223,133.9285191,0.041344672
20,CA_S_natural_gas_fired_combustion_turbine_1,1,2,709.6355313,6952.2,-6242.564469,0.982901924,9.599408868,0.002963405,,483.9454493,6952.2,-6468.254551,0.670303124,224.3864006,0.069269654
21,CA_S_natural_gas_steam_turbine_1,0,2,0,2942,-2942,0,0,0,,0,2942,-2942,0,0,0
22,CA_S_onshore_wind_turbine_1,0,2,0,4793.4,-4793.4,0,0,0,,0,4793.4,-4793.4,0,0,0
23,CA_S_other_peaker_1,1,2,0,115.1,-115.1,0,0,0,,23.66910867,115.1,-91.43089133,0.032783607,53.14854673,0.016407329
24,CA_S_small_hydroelectric_1,0,2,120.3,120.3,0,0.166625114,193.4424,0.059717024,,120.3,120.3,0,0.166625114,503.0946,0.155308828
25,CA_S_solar_photovoltaic_1,0,2,15583.1,15583.1,0,21.58383889,17022.42457,5.25494172,,0,15583.1,-15583.1,0,0,0
38,CA_N_utilitypv_class1_moderate_2,0,1,10305.11329,0,10305.11329,14.27340548,89741.51572,27.70383461,,7262.657711,0,7262.657711,10.05936136,63122.71936,19.48642569
62,CA_S_utilitypv_class1_moderate_1,0,2,24925.26685,0,24925.26685,34.52348659,204066.8348,62.99686155,,17209.08829,0,17209.08829,23.83596262,148936.7465,45.97781708
,,,,SCENARIO 1 ^,,,,,,,SCENARIO 2 ^,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
