ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,2653.8,2653.8,0,3.675350452,3907.172392,1.206048548
2,CA_N_biomass_1,1,0,236.2,-236.2,0,0,0
3,CA_N_conventional_hydroelectric_1,1,0,7519.1,-7519.1,0,0,0
4,CA_N_geothermal_1,1,0,987.4,-987.4,0,0,0
5,CA_N_hydroelectric_pumped_storage_1,1,373.3573438,2276.9,-1903.542656,0.517077053,827.0974313,0.255304746
6,CA_N_natural_gas_fired_combined_cycle_1,1,7930.922449,11409.7,-3478.777551,10.98384181,5350.28105,1.651500892
7,CA_N_natural_gas_fired_combustion_turbine_1,1,0,4732.2,-4732.2,0,0,0
8,CA_N_natural_gas_steam_turbine_1,1,0,2.9,-2.9,0,0,0
9,CA_N_onshore_wind_turbine_1,1,0,1473.5,-1473.5,0,0,0
10,CA_N_other_peaker_1,1,0,786,-786,0,0,0
11,CA_N_small_hydroelectric_1,1,227.3,227.3,0,0.314796578,832.3726,0.256933062
12,CA_N_solar_photovoltaic_1,1,6333.4,6333.4,0,8.771371072,9268.037182,2.860816381
13,CA_S_batteries_1,2,7148.739381,9806.2,-2657.460619,9.900566175,13983.30351,4.31630376
14,CA_S_biomass_1,2,0,181.4,-181.4,0,0,0
15,CA_S_conventional_hydroelectric_1,2,0,1346.4,-1346.4,0,0,0
16,CA_S_conventional_steam_coal_1,2,0,57,-57,0,0,0
17,CA_S_geothermal_1,2,0,1093,-1093,0,0,0
18,CA_S_hydroelectric_pumped_storage_1,2,0,1665,-1665,0,6.82E-15,2.11E-18
19,CA_S_natural_gas_fired_combined_cycle_1,2,6572.498616,10043,-3470.501384,9.102508011,1048.706439,0.323710026
20,CA_S_natural_gas_fired_combustion_turbine_1,2,710.9216844,6952.2,-6241.278316,0.984582988,9.62244818,0.002970214
21,CA_S_natural_gas_steam_turbine_1,2,0,2942,-2942,0,0,0
22,CA_S_onshore_wind_turbine_1,2,0,4793.4,-4793.4,0,0,0
23,CA_S_other_peaker_1,2,0,115.1,-115.1,0,0,0
24,CA_S_small_hydroelectric_1,2,120.3,120.3,0,0.166608131,196.3296,0.060602145
25,CA_S_solar_photovoltaic_1,2,15583.1,15583.1,0,21.58163902,17004.37887,5.248835829
26,CA_N_naturalgas_ccccsavgcf_conservative_0,1,0,0,0,0,0,0
27,CA_N_naturalgas_ccavgcf_moderate_0,1,0,0,0,0,0,0
28,CA_N_naturalgas_ctavgcf_moderate_0,1,0,0,0,0,0,0
29,CA_N_battery_moderate_0,1,0,0,0,0,0,0
30,CA_N_nuclear_nuclear_moderate_0,1,0,0,0,0,0,0
31,CA_N_landbasedwind_class3_moderate_1,1,0,0,0,0,0,0
32,CA_N_landbasedwind_class3_moderate_2,1,0,0,0,0,0,0
33,CA_N_landbasedwind_class3_moderate_3,1,0,0,0,0,0,0
34,CA_N_landbasedwind_class3_moderate_4,1,0,0,0,0,0,0
35,CA_N_landbasedwind_class3_moderate_5,1,0,0,0,0,0,0
36,CA_N_landbasedwind_class3_moderate_6,1,0,0,0,0,0,0
37,CA_N_utilitypv_class1_moderate_1,1,0,0,0,0,0,0
38,CA_N_utilitypv_class1_moderate_2,1,10307.33034,0,10307.33034,14.27502119,89848.1997,27.73394155
39,CA_N_utilitypv_class1_moderate_3,1,0,0,0,0,0,0
40,CA_N_utilitypv_class1_moderate_4,1,0,0,0,0,0,0
41,CA_N_utilitypv_class1_moderate_5,1,0,0,0,0,0,0
42,CA_N_utilitypv_class1_moderate_6,1,0,0,0,0,0,0
43,CA_N_offshorewind_class12_moderate_floating_1_0,1,0,0,0,0,0,0
44,CA_N_offshorewind_class12_moderate_floating_1_1,1,0,0,0,0,0,0
45,CA_N_offshorewind_class12_moderate_floating_1_2,1,0,0,0,0,0,0
46,CA_N_offshorewind_class12_moderate_floating_1_3,1,0,0,0,0,0,0
47,CA_N_offshorewind_class12_moderate_floating_0_0,1,0,0,0,0,0,0
48,CA_N_offshorewind_class12_moderate_floating_0_1,1,0,0,0,0,0,0
49,CA_N_offshorewind_class12_moderate_floating_0_2,1,0,0,0,0,0,0
50,CA_N_offshorewind_class12_moderate_floating_0_3,1,0,0,0,0,0,0
51,CA_S_naturalgas_ccccsavgcf_conservative_0,2,0,0,0,0,0,0
52,CA_S_naturalgas_ccavgcf_moderate_0,2,0,0,0,0,0,0
53,CA_S_naturalgas_ctavgcf_moderate_0,2,0,0,0,0,0,0
54,CA_S_battery_moderate_0,2,0,0,0,0,0,0
55,CA_S_nuclear_nuclear_moderate_0,2,0,0,0,0,0,0
56,CA_S_landbasedwind_class3_moderate_1,2,0,0,0,0,0,0
57,CA_S_landbasedwind_class3_moderate_2,2,0,0,0,0,0,0
58,CA_S_landbasedwind_class3_moderate_3,2,0,0,0,0,0,0
59,CA_S_landbasedwind_class3_moderate_4,2,0,0,0,0,0,0
60,CA_S_landbasedwind_class3_moderate_5,2,0,0,0,0,0,0
61,CA_S_landbasedwind_class3_moderate_6,2,0,0,0,0,0,0
62,CA_S_utilitypv_class1_moderate_1,2,24926.55637,0,24926.55637,34.5217538,203920.1955,62.94517643
63,CA_S_utilitypv_class1_moderate_2,2,0,0,0,0,0,0
64,CA_S_utilitypv_class1_moderate_3,2,0,0,0,0,0,0
65,CA_S_utilitypv_class1_moderate_4,2,0,0,0,0,0,0
66,CA_S_utilitypv_class1_moderate_5,2,0,0,0,0,0,0
67,CA_S_utilitypv_class1_moderate_6,2,0,0,0,0,0,0
68,CA_S_offshorewind_class12_moderate_floating_1_0,2,0,0,0,0,0,0
69,CA_S_offshorewind_class12_moderate_floating_1_1,2,0,0,0,0,0,0
70,CA_S_offshorewind_class12_moderate_floating_1_4,2,0,0,0,0,0,0
71,CA_S_offshorewind_class12_moderate_floating_1_5,2,0,0,0,0,0,0
72,CA_S_offshorewind_class12_moderate_floating_0_0,2,0,0,0,0,0,0
73,CA_S_offshorewind_class12_moderate_floating_0_1,2,0,0,0,0,0,0
74,CA_S_offshorewind_class12_moderate_floating_0_4,2,0,0,0,0,0,0
75,CA_S_offshorewind_class12_moderate_floating_0_5,2,0,0,0,0,0,0
,,,,,,,,
,,,,,,,346195.6967,
