Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
1,1,1,-18827.700267054533,0.0,1090.91221828
1,1,1,-18827.700267054533,474.82990170000005,474.82990170000005
1,1,1,-19209.161996814535,0.0,381.46172976
1,1,1,-19209.161996814535,0.0,246.34411493999997
1,1,1,-19209.161996814535,55.847280600000005,55.847280600000005
1,1,1,-19035.634374639536,173.52762217499998,173.52762217499998
1,1,1,-19035.634374639536,352.6279708,352.6279708
1,1,1,-19035.634374639536,0.0,659.3709597750001
2,1,1,-20332.973503914534,0.0,1297.339129275
2,1,1,-22684.832107054535,0.0,2351.8586031399996
2,1,1,-21148.02178721467,3339.08730454,3339.08730454
2,1,1,-19253.863886264673,4547.957900949999,4547.957900949999
2,1,1,-21907.663886264672,0.0,5882.057822085
2,1,1,-20076.29292317058,4485.170963094093,6214.725190350001
2,1,1,-21828.940888709654,0.0,5723.48814875
2,1,1,-24482.740888709654,0.0,5458.15955874
3,1,1,-25553.93520174873,0.0,5938.390166720001
3,1,1,-28207.73520174873,0.0,5861.77417806
3,1,1,-30861.535201748728,0.0,8225.472324299999
3,1,1,-22908.198353898726,7953.336847850001,7953.336847850001
3,1,1,-25275.218280153334,0.0,6145.29713976
3,1,1,-21133.384324813334,4141.83395534,4141.83395534
3,1,1,-22263.764531783472,0.0,2768.7609525000003
3,1,1,-23837.38374823328,0.0,1637.2054368000001
4,1,1,-23837.38374823328,447.21630185500004,447.21630185500004
4,1,1,-23837.38374823328,0.0,305.00376219000003
4,1,1,-23837.38374823328,154.58015204999998,154.58015204999998
4,1,1,-24014.903890843278,0.0,177.52014261000002
4,1,1,-23874.433578263277,140.47031257999998,140.47031257999998
4,1,1,-24439.306218568276,0.0,564.872640305
4,1,1,-24439.306218568276,1541.3209364,1541.3209364
4,1,1,-27093.106218568275,0.0,2906.4639045000004
5,1,1,-29746.906218568274,0.0,3318.501620265
5,1,1,-27474.73748515735,3210.9465993,3210.9465993
5,1,1,-30128.53748515735,0.0,3829.4502313499997
5,1,1,-27992.33503037235,4790.002454785,4790.002454785
5,1,1,-22441.011325522348,5551.3237048500005,5551.3237048500005
5,1,1,-16643.935582022346,5797.0757435,5797.0757435
5,1,1,-19297.735582022346,0.0,6397.0259562
5,1,1,-20852.510748967496,1099.0248330548484,8423.93619595
6,1,1,-14249.540617889343,6602.970131078152,11108.8042117
6,1,1,-13963.853823949066,2939.4867939402766,13812.991746015
6,1,1,-15152.261527870916,1465.3922960781501,10094.724009919999
6,1,1,-12881.493530060918,4924.56799781,4924.56799781
6,1,1,-15535.293530060917,0.0,3497.0258947400002
6,1,1,-13343.807834060917,2191.485696,2191.485696
6,1,1,-14491.093401420918,0.0,1147.28556736
